k,t_k,bond,E_dV_over_V,MC_SE_dV_over_V,E_r_dt,MC_SE_r_dt,residual,residual_bp_per_month,z_stat
89,7.416666666666666,B,0.003360130675438438,3.0926453233462556e-05,0.0033303620128797623,8.40028692063663e-06,2.9768662558675787e-05,0.29768662558675785,0.9625630955465002
90,7.5,B,0.0033527789659077633,2.9968263027401087e-05,0.003328548686447055,8.390762042679643e-06,2.4230279460708132e-05,0.24230279460708132,0.8085313265755008
91,7.583333333333333,B,0.0033485466063609983,2.973526671088906e-05,0.003327226830030488,8.411909542866846e-06,2.1319776330510406e-05,0.21319776330510407,0.7169862149816568
92,7.666666666666666,B,0.0032933914954619914,2.913382712433075e-05,0.003326170062883784,8.391911193855813e-06,-3.277856742179251e-05,-0.32778567421792515,-1.1251033817804836
93,7.75,B,0.003350380835139419,2.840384262874094e-05,0.0033297998250452305,8.396471212586878e-06,2.058101009418849e-05,0.2058101009418849,0.7245854148397239
94,7.833333333333333,B,0.0033448681124872166,2.7567760723598032e-05,0.0033286602564377315,8.439945741470712e-06,1.6207856049485058e-05,0.1620785604948506,0.5879279137681689
95,7.916666666666666,B,0.0034056825313969782,2.723735970518761e-05,0.003327924446447244,8.469921334384822e-06,7.775808494973413e-05,0.7775808494973413,2.854831958434076
96,8.0,B,0.003309336190658373,2.6554356299682063e-05,0.003321429924800538,8.475075772076621e-06,-1.2093734142164941e-05,-0.12093734142164941,-0.4554331502402015
97,8.083333333333332,B,0.0033004617489350322,2.5517689428762292e-05,0.003323648437750477,8.435643988093239e-06,-2.3186688815444913e-05,-0.23186688815444914,-0.9086515799236121
98,8.166666666666666,B,0.0033258411727206108,2.491345250852809e-05,0.0033269268903693906,8.431390915799102e-06,-1.0857176487798735e-06,-0.010857176487798735,-0.04357957406378032
99,8.25,B,0.003359728238655234,2.3989092255764958e-05,0.0033278931264352574,8.406517342394971e-06,3.183511221997639e-05,0.3183511221997639,1.327066146586931
100,8.333333333333332,B,0.0032971284064562496,2.3574630132208048e-05,0.0033253533775339968,8.425043875135426e-06,-2.8224971077747164e-05,-0.28224971077747163,-1.1972603989737995
101,8.416666666666666,B,0.0032876826894864294,2.2848203447159725e-05,0.003329438207759122,8.446369741053812e-06,-4.175551827269265e-05,-0.4175551827269265,-1.8275186654941706
102,8.5,B,0.003353794052019316,2.208644829142296e-05,0.0033350017384571433,8.406833444735388e-06,1.879231356217287e-05,0.1879231356217287,0.8508526728342586
103,8.583333333333332,B,0.0033338247480936773,2.1356647125460575e-05,0.0033333905575064528,8.393811474315017e-06,4.3419058722449916e-07,0.004341905872244992,0.02033046595159939
104,8.666666666666666,B,0.0033460833535888896,2.018864784521585e-05,0.003334070552999345,8.403727657217183e-06,1.2012800589544792e-05,0.12012800589544792,0.5950274967221985
105,8.75,B,0.0033255101495347906,1.9654547649837353e-05,0.0033332494999960428,8.44371578559233e-06,-7.73935046125213e-06,-0.07739350461252129,-0.3937689434086861
106,8.833333333333332,B,0.0033327754011189853,1.8433272081600608e-05,0.0033350570765399044,8.418388795434274e-06,-2.2816754209190916e-06,-0.022816754209190916,-0.12378027139286754
107,8.916666666666666,B,0.0033429369395285022,1.7510863330761345e-05,0.003336121949566273,8.384790828283316e-06,6.814989962229331e-06,0.06814989962229331,0.3891864058043006
108,9.0,B,0.00332984860620967,1.7028188291703996e-05,0.0033358206512110558,8.370914905449748e-06,-5.972045001385786e-06,-0.05972045001385786,-0.3507152316547569
109,9.083333333333332,B,0.003336769913329763,1.579322312338441e-05,0.0033376599521755014,8.339932330234768e-06,-8.900388457386103e-07,-0.008900388457386103,-0.05635574440918045
110,9.166666666666666,B,0.0033501687525132923,1.4810871862016289e-05,0.0033386861740047754,8.337820032029268e-06,1.1482578508516857e-05,0.11482578508516858,0.7752803896686787
111,9.25,B,0.0033449939243821378,1.4051612431779636e-05,0.003337375428767286,8.348738553822017e-06,7.618495614851711e-06,0.07618495614851711,0.542179458182425
112,9.333333333333332,B,0.003327533420737086,1.2791055316572108e-05,0.0033367840014663264,8.296485602373108e-06,-9.250580729240447e-06,-0.09250580729240447,-0.7232069989764943
113,9.416666666666666,B,0.0033390875134688843,1.2115511648477265e-05,0.0033402850439214014,8.327421977595753e-06,-1.1975304525170712e-06,-0.011975304525170712,-0.09884274698935909
114,9.5,B,0.0033387261884511516,1.111755274188205e-05,0.003341945328941207,8.321864460068357e-06,-3.2191404900554048e-06,-0.03219140490055405,-0.2895547756592381
115,9.583333333333332,B,0.0033431236886399818,1.0255095558299137e-05,0.0033444862138229986,8.304116530260043e-06,-1.3625251830168446e-06,-0.013625251830168446,-0.1328632361610901
116,9.666666666666666,B,0.0033600748176842105,9.52943269837872e-06,0.0033468861509808085,8.308563698260596e-06,1.3188666703402036e-05,0.13188666703402036,1.38399284835139
117,9.75,B,0.0033470820340297065,8.749819215532135e-06,0.0033424118076185974,8.248536159864217e-06,4.6702264111090665e-06,0.046702264111090665,0.5337511891467164
118,9.833333333333332,B,0.003347641534631418,8.33200085394436e-06,0.0033428991601719034,8.278164068790359e-06,4.742374459514465e-06,0.04742374459514465,0.5691759449675802
119,9.916666666666666,B,0.0033500224014935496,8.223386017578708e-06,0.0033441833776227713,8.311191736783476e-06,5.8390238707782885e-06,0.058390238707782885,0.7100510493240264
