k,t_k,bond,E_dV_over_V,MC_SE_dV_over_V,E_r_dt,MC_SE_r_dt,residual,residual_bp_per_month,z_stat
100,8.333333333333332,A,0.0033312445486868157,8.45298547433342e-06,0.0033253533775339968,8.425043875135426e-06,5.89117115281897e-06,0.0589117115281897,0.6969337840112084
101,8.416666666666666,A,0.0033353448018482498,8.474495101643987e-06,0.003329438207759122,8.446369741053812e-06,5.9065940891276855e-06,0.059065940891276855,0.6969847782414614
102,8.5,A,0.003340923561610188,8.434859511403959e-06,0.0033350017384571433,8.406833444735388e-06,5.921823153044736e-06,0.05921823153044736,0.7020654161504897
103,8.583333333333332,A,0.0033393059023134344,8.421802337226591e-06,0.0033333905575064528,8.393811474315017e-06,5.915344806981578e-06,0.05915344806981578,0.702384664246297
104,8.666666666666666,A,0.0033399890053341257,8.431794801468646e-06,0.003334070552999345,8.403727657217183e-06,5.918452334780899e-06,0.059184523347808986,0.7019208216203299
105,8.75,A,0.0033391685897584985,8.471909533343152e-06,0.0033332494999960428,8.44371578559233e-06,5.919089762455778e-06,0.05919089762455778,0.6986724467677371
106,8.833333333333332,A,0.0033409800612757543,8.446505479771977e-06,0.0033350570765399044,8.418388795434274e-06,5.922984735849939e-06,0.05922984735849939,0.7012349367480475
107,8.916666666666666,A,0.0033420456606136732,8.412801940654192e-06,0.003336121949566273,8.384790828283316e-06,5.923711047400339e-06,0.05923711047400339,0.7041305725711287
108,9.0,A,0.003341742191090444,8.39894918368729e-06,0.0033358206512110558,8.370914905449748e-06,5.921539879388035e-06,0.059215398793880346,0.7050334214295569
109,9.083333333333332,A,0.003343585043653593,8.36789857587374e-06,0.0033376599521755014,8.339932330234768e-06,5.9250914780915355e-06,0.059250914780915355,0.7080740073947256
110,9.166666666666666,A,0.0033446145208481434,8.365798279287747e-06,0.0033386861740047754,8.337820032029268e-06,5.928346843367925e-06,0.05928346843367925,0.7086409025717815
111,9.25,A,0.0033433003069490725,8.376760130176599e-06,0.003337375428767286,8.348738553822017e-06,5.924878181786438e-06,0.05924878181786438,0.707299491654601
112,9.333333333333332,A,0.003342702539863561,8.324337960044624e-06,0.0033367840014663264,8.296485602373108e-06,5.918538397234503e-06,0.05918538397234503,0.7109920843726504
113,9.416666666666666,A,0.003346217870665693,8.35538827538972e-06,0.0033402850439214014,8.327421977595753e-06,5.932826744291676e-06,0.059328267442916756,0.7100599695368377
114,9.5,A,0.0033478832496822816,8.349865156444743e-06,0.003341945328941207,8.321864460068357e-06,5.937920741074659e-06,0.05937920741074659,0.7111397166086625
115,9.583333333333332,A,0.003350431163181412,8.332042122414454e-06,0.0033444862138229986,8.304116530260043e-06,5.9449493584134115e-06,0.059449493584134115,0.7135044771822022
116,9.666666666666666,A,0.003352839513941388,8.336498500652576e-06,0.0033468861509808085,8.308563698260596e-06,5.9533629605795085e-06,0.059533629605795085,0.7141323134783126
117,9.75,A,0.003348345192841095,8.276215854739742e-06,0.0033424118076185974,8.248536159864217e-06,5.933385222497631e-06,0.05933385222497631,0.7169200666871943
118,9.833333333333332,A,0.00334883663279093,8.305919302960536e-06,0.0033428991601719034,8.278164068790359e-06,5.93747261902651e-06,0.0593747261902651,0.7148483391730251
119,9.916666666666666,A,0.0033501279024011382,8.33914962800749e-06,0.0033441833776227713,8.311191736783476e-06,5.9445247783669435e-06,0.059445247783669435,0.7128454391083153
